company_industry,mapped_industry
Investment Banking,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
"International Trade and Development,  Charitable Organizations & Foundations,  Association,  Organizations,  Leisure,  Community and Lifestyle,  Tourism,  Travel and Tourism,  Travel","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
"Marketing Services,  Information Collection & Delivery,  Media & Internet,  Travel Agencies & Services,  Consumer Services","media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Hotels and Motels,Other
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Personal Care Product Manufacturing,  Cosmetics, Beauty Supply & Personal Care Products,  Consumer Goods,  Manufacturing","health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Hospitality,  Hospitality General,  Hotel Discounts | Hotel Loyality Marketing | Sales Management |","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Hospitals and Health Care,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
E-Learning Providers,"education, school, university, college, learning, online education, e-learning, educational services"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Professional Training and Coaching,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Hospitality,  Accounting & Accounting Services,  Hotel,  Business Services,  Gaming,  Food Service,  Investment Banking,  Chain Restaurant,  Finance,  Organizational Development,  Executive Search,  Mid-Management Recruitment","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Broadcast Media Production and Distribution,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Real Estate,"construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Law Practice,"legal services, law, law firm, attorney, legal consulting, litigation, legal advice, corporate law"
Retail,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Business Consulting and Services,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Leisure, Travel & Tourism","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Movies, Videos, and Sound",Other
"Oil and Gas,  Membership Organizations,  American Petroleum Institute,  Organizations,  Oil And Gas Trade Association","energy, oil, gas, renewable, power, electricity, solar energy, wind energy, energy services, energy production"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Entertainment Providers,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Online Media,  Software General,  Software","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Insurance,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Education Administration Programs,"education, school, university, college, learning, online education, e-learning, educational services"
Automation Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Airlines and Aviation,  Business Services General,  Business Services","consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Entertainment Providers,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Wellness and Fitness Services,  Management Consulting,  Fitness,  Outcomes-Based Wellness,  Business Services,  Sports,  HIPAA compliance,  Health Care,  Health Insurance Law,  Personal Health,  Wellness Regulations For Group Health Plans,  Wellness,  Progress-Based Wellness,  Wellness Consulting,  Participation-Based Wellness","health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Mental Health Care,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"E-Learning Providers,  Training,  Education","education, school, university, college, learning, online education, e-learning, educational services"
"Software Development,  Content & Collaboration Software,  Paid Content,  Software Development & Design,  Newspapers,  Software,  Online Publishing,  Identity And Access Management,  Paywall,  Digital Subscriptions,  Metered Paywall,  Content Monetization,  Saas,  OTT,  Ecommerce,  Broadcast Media,  Magazines,  User segmentation,  User identity management,  User experience management","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Musicians,Other
"Music,  Musicians,  Flowers, Gifts & Specialty Stores,  Android,  Piano Tutorials,  Retail,  Mobile,  Platforms,  Lessons,  Software,  Entertainment,  iOS,  Education,  Mobile applications,  Mobile Apps,  Apps,  Media and Entertainment,  Music and Audio,  Music Education","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Automation Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Fisheries,  Animals & Livestock,  Food and Beverage,  Seafood Processor,  Agriculture,  Internships,  Skilled Trades,  Sales","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Hospitality,  Financial Services,  Information Technology and Services,  Software,  Venture Capital & Private Equity","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Hospitality,  Advertising & Marketing,  Business/Productivity Software,  Reservations Solutions,  Business Services,  Media and Information Services (B2B),  Hotel Distribution and Demand Products,  Software Development & Design,  Revenue Management,  Software,  Hotel Business Intelligence,  Media Solutions,  Advertising,  Web Solutions,  Search Engine Optimization,  Guest Management Services","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Embedded Software Products,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Financial Services,  Mobile Payments,  FinTech,  Payments,  Fintech,  Local Shopping,  Commerce and Shopping,  Payment Processing ,  In-Store Payments,  Mobile,  Mobile App,  Ach,  Software,  Small Business","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Travel Arrangements,"hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Business Services,  Software Development & Design,  Software","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Philanthropic Fundraising Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Advertising Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Marketing Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Travel Arrangements,"hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Technology, Information and Internet,  Internet Service Providers, Website Hosting & Internet-Related Services,  Social/Platform Software,  Service,  Telecommunications,  Social Content,  File Transfers,  People,  Big Files","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Wireless Services,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Chemical Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
E-Learning Providers,"education, school, university, college, learning, online education, e-learning, educational services"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Computer Hardware,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Spectator Sports,Other
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Staffing and Recruiting,"staffing, recruiting, recruitment, hiring, talent acquisition, HR services, human resources, employment services"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Education Administration Programs,  Colleges & Universities,  Education","education, school, university, college, learning, online education, e-learning, educational services"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Consumer Goods,  Appliances,  Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
IT System Custom Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Environmental Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Education,"education, school, university, college, learning, online education, e-learning, educational services"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Human Resources Services,"staffing, recruiting, recruitment, hiring, talent acquisition, HR services, human resources, employment services"
"IT Services and IT Consulting,  Enterprise Resource Planning (Erp) Software,  PeopleSoft ERP Solutions,  Software Development & Design,  Microsoft Technologies,  Software,  Web-Based technologies,  Business Intelligence (Bi) Software,  Mobile Application Development,  Custom Software & Technical Consulting,  UI/UX Services,  Data Warehousing & BI,  Staffing Solutions,  Cloud Computing,  Testing,  Oracle Services,  Microsoft Dynamics,  Portal Services","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Retail,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Embedded Software Products,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Software,  IT Services and IT Consulting,  Software General,  Consulting,  Ruby,  Web Development,  Rails,  AngularJS,  Node.JS,  Go,  Python","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Information Technology and Services,  Business Services General,  Business Services","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Semiconductor Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Professional Services,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Insurance,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
"Design,  Software General,  Branded Content,  Software,  Online Media,  Earned Media Optimization,  Social Media,  Conversation Analytics,  Digital Creative,  Consulting,  Mobile","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Non-profit Organizations,  Membership Organizations,  Organizations",Other
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Online Audio and Video Media,  Publishing,  Online Publishing,  Media & Internet","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Retail,  Retail Apparel and Fashion","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Writing and Editing,Other
"Insurance,  Insurance Services,  Business Insurance,  Programs,  Property & Casualty Insurance,  Specialty Products,  Corporate Insurance","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Industrial Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Advertising Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Industrial Automation,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Environmental Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Software Development,  Software","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Higher Education,  Colleges & Universities,  Education","education, school, university, college, learning, online education, e-learning, educational services"
IT System Custom Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Motor Vehicle Manufacturing,"automotive, car, vehicle, auto, automobile, car manufacturing, vehicle production, auto services"
"Software,  Software Development,  Business Intelligence (Bi) Software,  Analytics,  Search Engine Analysis,  Software Development & Design,  Data and Analytics,  Internet Marketing,  Content Marketing,  Competitive Analysis,  Sales and Marketing,  SEO/SEM,  Digital Marketing,  Market Research,  Design,  SaaS,  Search Engine,  Internet Services,  Semantic Search,  SEO,  Social Media Marketing","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Advertising Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Events Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Events Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Content Marketing,  Internet,  Technology, Information and Internet,  Advertising & Marketing,  Advertising,  Business Services,  Sales and Marketing,  Marketing de Conteúdo,  Digital Marketing,  Marketing Digital,  Internet Services,  Marketing,  Marketplace,  Commerce and Shopping,  SaaS,  Software","media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
